FireId,Organization,RegionState,RegionStateName,ReportingUnitId,ReportingUnitName,CalendarYear,FiscalYear,FireNumber,FireCode,FireName,FireTypePr,FireType,ProtectionType,CompletionCode,IndexTime,IndexTimeSource,SizeClass,LastModified,CauseCategory,Reimbursable,BurningIndex,Nrvc,Area,AreaName,Owner,MergedFire,ParentFire,OriginAccuracy,LocationMethod,CoordinateType,Datum,LatitudeDD,LongitudeDD,LatitudeDMS,LongitudeDMS,LatitudeEntered,LongitudeEntered,LatitudeNAD83,LongitudeNAD83,UtmZone,UtmEasting,UtmNorthing,StartDate,DetectionType,StartAcres,InitialAttackTime,InitialAttackAcres,ContainedTime,ContainedAcres,ControlDate,ControlAcres,OutDate,Topography,Aspect,Slope,Elevation,Station,FbpsFuelModel,MsgcModel,MsgcSlope,MsgcGrass,MsgcClimate,SpecialArea,WildlandUrban,IntersectFuels,AddToNFPORS,Total-Structures,Residence-Structures,Other-Structures,AuthorizedByName,AuthorizedByTitle,AuthorizedDate,EnteredByName,EnteredByTitle,EnteredDate,ProvidedByName,ProvidedByTitle,ProvidedDate,CostAccountingCode,Assist-BillNumber,Assist-CollectionContact,Assist-AmountBilled,Assist-BilledDate,Assist-AmountCollected,Assist-CollectedDate,Fuel-ProjectNumber,Fuel-NfporsTreatmentNumber,Fuel-Escape,Fuel-EscapeFireNumber,Fuel-CostPerAcre,Fuel-FiringTypeStrategy,Fuel-FiringTypeMethod,Fuel-TreatmentComplexity,Fuel-1-Objective,Fuel-2-Objective,Fuel-3-Objective,Trespass-GeneralCause,Trespass-SpecificCause,Trespass-OtherCause,Trespass-People,Trespass-Status,Trespass-AuthorizedByName,Trespass-AuthorizedByTitle,Trespass-Reason,Trespass-CaseNumber,Trespass-AmountBilled,Trespass-BilledDate,Trespass-AmountRecovered,Trespass-RecoveredDate,Trespass-AmountToOrganization,Trespass-ToOrganizationDate,Trespass-Investigated,Trespass-Suspect,Trespass-SuspectType,Ecology-1-FireRegimeGroup,Ecology-1-PreFireConditionClass,Ecology-1-PostFireConditionClass,Ecology-1-Acres,Ecology-2-FireRegimeGroup,Ecology-2-PreFireConditionClass,Ecology-2-PostFireConditionClass,Ecology-2-Acres,Ecology-3-FireRegimeGroup,Ecology-3-PreFireConditionClass,Ecology-3-PostFireConditionClass,Ecology-3-Acres,Ecology-4-FireRegimeGroup,Ecology-4-PreFireConditionClass,Ecology-4-PostFireConditionClass,Ecology-4-Acres,Ecology-5-FireRegimeGroup,Ecology-5-PreFireConditionClass,Ecology-5-PostFireConditionClass,Ecology-5-Acres,InitialAttack-1-ResourceType,InitialAttack-1-Amount,InitialAttack-2-ResourceType,InitialAttack-2-Amount,InitialAttack-3-ResourceType,InitialAttack-3-Amount,InitialAttack-4-ResourceType,InitialAttack-4-Amount,InitialAttack-5-ResourceType,InitialAttack-5-Amount,Statistics-1-State,Statistics-1-County,Statistics-1-Owner,Statistics-1-VegType,Statistics-1-Acres,Statistics-2-State,Statistics-2-County,Statistics-2-Owner,Statistics-2-VegType,Statistics-2-Acres,Statistics-3-State,Statistics-3-County,Statistics-3-Owner,Statistics-3-VegType,Statistics-3-Acres,Statistics-4-State,Statistics-4-County,Statistics-4-Owner,Statistics-4-VegType,Statistics-4-Acres,Statistics-5-State,Statistics-5-County,Statistics-5-Owner,Statistics-5-VegType,Statistics-5-Acres,Statistics-6-State,Statistics-6-County,Statistics-6-Owner,Statistics-6-VegType,Statistics-6-Acres,Statistics-7-State,Statistics-7-County,Statistics-7-Owner,Statistics-7-VegType,Statistics-7-Acres,Statistics-8-State,Statistics-8-County,Statistics-8-Owner,Statistics-8-VegType,Statistics-8-Acres
230068,NPS,SERO,Southeast Region,FLEVP,Everglades National Park,1971,1971,1001,,LAST DAY F,11,1,1,Incomplete,1/3/1971 0:00,Start,D,9/25/2009,Human,,,,,,3,,,,,LL,NAD83,25.368935,-80.725452,22:08.2,-80:43:31.63,25.368935,-80.725452,25.368935,-80.725452,17,527621.4,2805828.7,1/3/1971,L,120,1/3/1971 0:00,,,,1/3/1971,120,1/3/1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,30,,9,,,,,,,,,,,,,Unknown,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FL,,3,2,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230069,NPS,SERO,Southeast Region,FLEVP,Everglades National Park,1971,1971,1002,,PHILS FOLL,11,1,1,Incomplete,1/9/1971 0:00,Start,C,9/25/2009,Human,,,,,,3,,,,,LL,NAD83,25.655978,-80.501382,39:21.5,-80:30:04.98,25.655978,-80.501382,25.655979,-80.501382,17,550045.4,2837680.8,1/9/1971,L,26,1/9/1971 0:00,,,,1/9/1971,26,1/9/1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,30,,9,,,,,,,,,,,,,Unknown,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FL,,3,2,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230070,NPS,SERO,Southeast Region,FLEVP,Everglades National Park,1971,1971,1003,,N 1/3 SHAR,11,1,1,Incomplete,2/17/1971 0:00,Start,C,,Human,,,,,,3,,,,,,,,,,,,,,,,,,2/17/1971,L,26,2/17/1971 0:00,,,,2/17/1971,26,2/17/1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,30,,9,,,,,,,,,,,,,Unknown,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FL,,3,2,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230071,NPS,SERO,Southeast Region,FLEVP,Everglades National Park,1971,1971,1004,,IRON POT T,49,4,9,Incomplete,7/1/1971 0:00,Start,F,,Human,,,,,,3,,,,,,,,,,,,,,,,,,7/1/1971,L,2400,7/1/1971,,,,7/1/1971,2400,7/1/1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FL,,3,2,2400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230072,NPS,SERO,Southeast Region,FLEVP,Everglades National Park,1971,1971,1005,,SMOOL JOE,11,1,1,Incomplete,2/11/1971 0:00,Start,F,9/25/2009,Human,,,,,,3,,,,,LL,NAD83,25.552365,-80.577624,33:08.5,-80:34:39.44,25.552365,-80.577624,25.552365,-80.577624,17,542429.6,2826180.1,2/11/1971,L,2100,2/11/1971 0:00,,,,2/11/1971,2100,2/11/1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,30,,9,,,,,,,,,,,,,Unknown,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FL,,3,2,2100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230073,NPS,SERO,Southeast Region,FLEVP,Everglades National Park,1971,1971,1006,,LAST CHANC,11,1,1,Incomplete,2/16/1971 0:00,Start,F,9/25/2009,Human,,,,,,3,,,,,LL,NAD83,25.579655,-80.558818,34:46.8,-80:33:31.75,25.579655,-80.558818,25.579655,-80.558818,17,544308.7,2829208.3,2/16/1971,L,1600,2/16/1971 0:00,,,,2/16/1971,1600,2/16/1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,30,,9,,,,,,,,,,,,,Unknown,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FL,,3,2,1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230074,NPS,SERO,Southeast Region,FLEVP,Everglades National Park,1971,1971,1007,,MIDDLE 1/3,49,4,9,Incomplete,7/1/1971 0:00,Start,A,,Human,,,,,,3,,,,,,,,,,,,,,,,,,7/1/1971,L,0.1,7/1/1971,,,,7/1/1971,0.1,7/1/1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FL,,3,2,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230075,NPS,SERO,Southeast Region,FLEVP,Everglades National Park,1971,1971,1008,,POLACKS FI,11,1,1,Incomplete,3/14/1971 0:00,Start,C,9/25/2009,Human,,,,,,3,,,,,LL,NAD83,25.759412,-80.589763,45:33.9,-80:35:23.15,25.759412,-80.589763,25.759413,-80.589763,17,541139,2849104.7,3/14/1971,L,25,3/14/1971 0:00,,,,3/14/1971,25,3/14/1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,30,,9,,,,,,,,,,,,,Unknown,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FL,,3,2,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230076,NPS,SERO,Southeast Region,FLEVP,Everglades National Park,1971,1971,1009,,TRAINEE,11,1,1,Incomplete,3/18/1971 0:00,Start,E,9/25/2009,Human,,,,,,3,,,,,LL,NAD83,25.631146,-80.533799,37:52.1,-80:32:01.68,25.631146,-80.533799,25.631146,-80.533799,17,546801.3,2834919,3/18/1971,L,390,3/18/1971 0:00,,,,3/18/1971,390,3/18/1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,30,,9,,,,,,,,,,,,,Unknown,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FL,,3,2,390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230077,NPS,SERO,Southeast Region,FLEVP,Everglades National Park,1971,1971,1010,,POWDER KEG,11,1,1,Incomplete,3/23/1971 0:00,Start,C,9/25/2009,Human,,,,,,3,,,,,LL,NAD83,25.759203,-80.525841,45:33.1,-80:31:33.03,25.759203,-80.525841,25.759203,-80.525841,17,547549.4,2849103,3/23/1971,L,25,3/23/1971 0:00,,,,3/23/1971,25,3/23/1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,30,,9,,,,,,,,,,,,,Unknown,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FL,,3,2,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
