"","NAME","UNITNAME","number","acres","avg"
"1","River of Grass","EVER",-21.5909090909091,-87.3165592630575,-83.8240176108559
"2","Pine Rocklands","EVER",-8.33333333333333,-60.4368471853563,-56.8401969294795
"3","Coastal Prairies","EVER",-41.0852713178295,-38.4596765184147,4.45660169900672
"4","East Everglades","EVER",150,1862.5422832981,685.016913319239
"5","South 41","BICY",-19.047619047619,510.879868748861,654.616308454475
"6",NA,NA,120,193.293591654247,33.3152689337489
"7","IPP","BICY",24.4897959183673,1557.0322875166,1231.05872275924
"8","Deep Lake","BICY",-15.9420289855072,651.287067940308,793.77254634278
"9","North 75","BICY",146.296296296296,5103.65899377672,2012.76380198453
"10","Raccoon Point","BICY",-64.2857142857143,239015.70881226,669423.984674329
